United Arab Emirates,Abu Dhabi
Azerbaijan,Baku
Akrotiri and Decelia (Great Britain),Episcopal
Afghanistan,Kabul
Bangladesh,Dhaka
Bahrain,Manama
British Indian Ocean Territory (UK),Diego Garcia
Brunei,Bandar Seri Begawan
Butane,Thimphu
Vietnam,Hanoi
Armenia,Yerevan
Hong Kong (China),Hong Kong
Georgia,Tbilisi
Yemen,Sana
Jordan,Amman
Israel,Jerusalem
India,New Delhi
Indonesia,Jakarta
Iraq,Baghdad
Iran,Tehran
Kazakhstan,Astana
Cambodia,Phnom Penh
Qatar,Doha
Kyrgyzstan,Bishkek
China,Beijing
Cyprus,Nicosia
Cocos Islands (Australia),West Island
Kuwait,El Kuwait
Laos,Vientiane
Lebanon,Beirut
Macao (China),Macao
Malaysia,Kuala Lumpur
Maldives,Small
Mongolia,Ulan Bator
Myanmar,Nipido
Nepal,Kathmandu
Oman,Muscat
Christmas Island (Australia),Fling-Fish-Cove9
Pakistan,Islamabad
Palestine State,Jerusalem (eastern) 4
South Korea,Seoul
North Korea,Pyongyang
Saudi Arabia,Riyadh
Syria,Damascus
Singapore,Singapore
Oriental Timor,Dili
Tajikistan,Dushanbe
Taiwan8,Taipei
Thailand,Bangkok
Turkey,Ankara
Turkmenistan,Ashgabat
Uzbekistan,Tashkent
Philippines,Manila
Sri Lanka,Sri Jayaardenapeur-Kotte
Japan,Tokyo
